case_id,scenario,task_level,method,seed,readiness_score,planning_success,grasp_success,alignment_success,insertion_success,full_task_success,failure_cause,geometric_valid
none__s42__e000__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e001__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e002__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e003__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e004__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e005__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e006__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e007__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e008__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e009__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,0,0,misalignment,0
none__s42__e010__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e011__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,0,0,misalignment,0
none__s42__e012__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,0,0,insufficient_depth,0
none__s42__e013__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e014__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e015__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e016__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e017__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e018__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e019__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e020__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,0,0,insufficient_depth,0
none__s42__e021__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e022__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e023__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e024__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e025__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e026__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e027__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e028__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e029__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e030__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e031__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,0,0,misalignment,0
none__s42__e032__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e033__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e034__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e035__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e036__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e037__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e038__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e039__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e040__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e041__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,0,0,insufficient_depth,0
none__s42__e042__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e043__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e044__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,0,0,misalignment,0
none__s42__e045__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e046__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,0,0,misalignment,0
none__s42__e047__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e048__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e049__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e050__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e051__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e052__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e053__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e054__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e055__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e056__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e057__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e058__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e059__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e060__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e061__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,0,0,insufficient_depth,0
none__s42__e062__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e063__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e064__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e065__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e066__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e067__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e068__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e069__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e070__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e071__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e072__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e073__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e074__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e075__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e076__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e077__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e078__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e079__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e080__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e081__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e082__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e083__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e084__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e085__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e086__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e087__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e088__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e089__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e090__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,0,0,misalignment,0
none__s42__e091__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,0,0,misalignment,0
none__s42__e092__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e093__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e094__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,0,0,misalignment,0
none__s42__e095__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e096__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e097__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e098__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e099__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e000__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,0,0,insufficient_depth,0
none__s42__e001__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e002__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e003__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e004__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e005__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e006__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e007__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e008__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e009__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e010__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e011__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e012__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e013__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e014__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e015__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e016__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,0,0,misalignment,0
none__s42__e017__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e018__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,0,0,misalignment,0
none__s42__e019__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,0,0,misalignment,0
none__s42__e020__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e021__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e022__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e023__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e024__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e025__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e026__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e027__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e028__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e029__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,0,0,misalignment,0
none__s42__e030__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e031__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e032__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e033__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e034__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e035__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e036__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e037__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e038__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e039__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e040__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e041__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e042__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e043__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e044__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e045__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,0,0,misalignment,0
none__s42__e046__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e047__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e048__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e049__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,0,0,misalignment,0
none__s42__e050__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e051__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e052__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,0,0,insufficient_depth,0
none__s42__e053__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e054__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e055__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e056__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e057__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e058__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e059__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e060__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e061__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e062__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e063__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e064__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e065__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,0,0,misalignment,0
none__s42__e066__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e067__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e068__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,0,0,insufficient_depth,0
none__s42__e069__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e070__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e071__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e072__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e073__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e074__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e075__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e076__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e077__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e078__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,0,0,misalignment,0
none__s42__e079__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e080__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e081__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e082__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e083__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e084__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,0,0,insufficient_depth,0
none__s42__e085__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e086__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e087__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e088__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e089__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e090__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e091__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,0,0,insufficient_depth,0
none__s42__e092__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e093__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,0,0,insufficient_depth,0
none__s42__e094__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e095__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e096__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e097__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e098__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e099__ep1,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s123__e000__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,123,1.0,,,,1,1,,0
none__s123__e001__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,123,1.0,,,,1,1,,1
none__s123__e002__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,123,1.0,,,,1,1,,0
none__s123__e003__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,123,1.0,,,,1,1,,0
none__s123__e004__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,123,1.0,,,,1,1,,1
none__s123__e005__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,123,1.0,,,,1,1,,0
none__s123__e006__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,123,1.0,,,,1,1,,1
none__s123__e007__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,123,1.0,,,,1,1,,1
none__s123__e008__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,123,1.0,,,,0,0,insufficient_depth,0
none__s123__e009__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,123,1.0,,,,1,1,,0
none__s123__e010__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,123,1.0,,,,1,1,,1
none__s123__e011__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,123,1.0,,,,1,1,,0
none__s123__e012__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,123,1.0,,,,0,0,insufficient_depth,0
none__s123__e013__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,123,1.0,,,,1,1,,1
none__s123__e014__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,123,1.0,,,,1,1,,1
none__s123__e015__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,123,1.0,,,,1,1,,1
none__s123__e016__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,123,1.0,,,,1,1,,1
none__s123__e017__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,123,1.0,,,,1,1,,0
none__s123__e018__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,123,1.0,,,,1,1,,0
none__s123__e019__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,123,1.0,,,,1,1,,1
none__s123__e020__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,123,1.0,,,,1,1,,1
none__s123__e021__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,123,1.0,,,,1,1,,0
none__s123__e022__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,123,1.0,,,,1,1,,0
none__s123__e023__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,123,1.0,,,,1,1,,1
none__s123__e024__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,123,1.0,,,,1,1,,0
none__s123__e025__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,123,1.0,,,,0,0,misalignment,0
none__s123__e026__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,123,1.0,,,,1,1,,0
none__s123__e027__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,123,1.0,,,,1,1,,0
none__s123__e028__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,123,1.0,,,,1,1,,1
none__s123__e029__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,123,1.0,,,,1,1,,0
none__s123__e030__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,123,1.0,,,,1,1,,0
none__s123__e031__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,123,1.0,,,,1,1,,0
none__s123__e032__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,123,1.0,,,,1,1,,1
none__s123__e033__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,123,1.0,,,,0,0,misalignment,0
none__s123__e034__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,123,1.0,,,,1,1,,0
none__s123__e035__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,123,1.0,,,,1,1,,0
none__s123__e036__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,123,1.0,,,,1,1,,1
