run_id,commit_sha,partition,scene_id,fault_id,fault_family,method,seed,expected_rules,observed_rules,true_positive,false_positive,false_negative,detected,valid_repair,incorrect_repair,escalated,validation_ms,repair_ms
B-CPU-DETREp-0001,fb93389,challenge,sequential_assembly__v001,unsafe_payload_path,composition,fixed-rule-repair,0,CSR-SCN-029,CSR-SCN-029,1,0,0,1,1,0,0,0.051136,0.269319
B-CPU-DETREp-0001,fb93389,challenge,sequential_assembly__v001,unsafe_payload_path,composition,ablation-no-provenance,0,CSR-SCN-029,CSR-SCN-029,1,0,0,1,1,0,0,0.039409,0.244564
B-CPU-DETREp-0001,fb93389,challenge,sequential_assembly__v001,unsafe_payload_path,composition,ablation-no-task-validator,0,CSR-SCN-029,CSR-SCN-029,1,0,0,1,1,0,0,0.047191,0.250421
B-CPU-DETREp-0001,fb93389,challenge,sequential_assembly__v001,unsafe_payload_path,composition,ablation-fixed-repair-order,0,CSR-SCN-029,CSR-SCN-029,1,0,0,1,1,0,0,0.053787,0.267498
B-CPU-DETREp-0001,fb93389,development,connection_plate_positioning,wrong_up_axis,spatial,direct-conversion,0,CSR-SCN-001,,0,0,1,0,0,0,0,0.001713,0.0
B-CPU-DETREp-0001,fb93389,development,connection_plate_positioning,wrong_up_axis,spatial,fixed-rule-repair,0,CSR-SCN-001,CSR-SCN-001,1,0,0,1,1,0,0,0.076873,0.2744
B-CPU-DETREp-0001,fb93389,development,connection_plate_positioning,wrong_up_axis,spatial,ablation-no-provenance,0,CSR-SCN-001,CSR-SCN-001,1,0,0,1,1,0,0,0.041451,0.228894
B-CPU-DETREp-0001,fb93389,development,connection_plate_positioning,wrong_up_axis,spatial,ablation-no-task-validator,0,CSR-SCN-001,CSR-SCN-001,1,0,0,1,1,0,0,0.046889,0.243615
B-CPU-DETREp-0001,fb93389,development,connection_plate_positioning,wrong_up_axis,spatial,ablation-fixed-repair-order,0,CSR-SCN-001,CSR-SCN-001,1,0,0,1,1,0,0,0.048738,0.245225
B-CPU-DETREp-0001,fb93389,development,connection_plate_positioning,wrong_units,spatial,direct-conversion,0,CSR-SCN-002,,0,0,1,0,0,0,0,0.001188,0.0
B-CPU-DETREp-0001,fb93389,development,connection_plate_positioning,wrong_units,spatial,fixed-rule-repair,0,CSR-SCN-002,CSR-SCN-002,1,0,0,1,1,0,0,0.048892,0.249896
B-CPU-DETREp-0001,fb93389,development,connection_plate_positioning,wrong_units,spatial,ablation-no-provenance,0,CSR-SCN-002,CSR-SCN-002,1,0,0,1,1,0,0,0.035377,0.218045
B-CPU-DETREp-0001,fb93389,development,connection_plate_positioning,wrong_units,spatial,ablation-no-task-validator,0,CSR-SCN-002,CSR-SCN-002,1,0,0,1,1,0,0,0.045558,0.241447
B-CPU-DETREp-0001,fb93389,development,connection_plate_positioning,wrong_units,spatial,ablation-fixed-repair-order,0,CSR-SCN-002,CSR-SCN-002,1,0,0,1,1,0,0,0.047024,0.244354
B-CPU-DETREp-0001,fb93389,development,connection_plate_positioning,missing_ifc_guid,identity,direct-conversion,0,CSR-SCN-003,,0,0,1,0,0,0,0,0.001251,0.0
B-CPU-DETREp-0001,fb93389,development,connection_plate_positioning,missing_ifc_guid,identity,fixed-rule-repair,0,CSR-SCN-003,CSR-SCN-003,1,0,0,1,1,0,0,0.049477,0.254849
B-CPU-DETREp-0001,fb93389,development,connection_plate_positioning,missing_ifc_guid,identity,ablation-no-provenance,0,CSR-SCN-003,CSR-SCN-003,1,0,0,1,1,0,0,0.03668,0.224374
B-CPU-DETREp-0001,fb93389,development,connection_plate_positioning,missing_ifc_guid,identity,ablation-no-task-validator,0,CSR-SCN-003,CSR-SCN-003,1,0,0,1,1,0,0,0.047099,0.24891
B-CPU-DETREp-0001,fb93389,development,connection_plate_positioning,missing_ifc_guid,identity,ablation-fixed-repair-order,0,CSR-SCN-003,CSR-SCN-003,1,0,0,1,1,0,0,0.050451,0.256651
B-CPU-DETREp-0001,fb93389,development,connection_plate_positioning,missing_workzone_payload,composition,direct-conversion,0,CSR-SCN-005|CSR-SCN-029,,0,0,2,0,0,0,0,0.001159,0.0
B-CPU-DETREp-0001,fb93389,development,connection_plate_positioning,missing_workzone_payload,composition,fixed-rule-repair,0,CSR-SCN-005|CSR-SCN-029,CSR-SCN-005|CSR-SCN-029,2,0,0,1,1,0,0,0.050254,0.25491
B-CPU-DETREp-0001,fb93389,development,connection_plate_positioning,missing_workzone_payload,composition,ablation-no-provenance,0,CSR-SCN-005|CSR-SCN-029,CSR-SCN-005|CSR-SCN-029,2,0,0,1,1,0,0,0.036482,0.233109
B-CPU-DETREp-0001,fb93389,development,connection_plate_positioning,missing_workzone_payload,composition,ablation-no-task-validator,0,CSR-SCN-005|CSR-SCN-029,CSR-SCN-005|CSR-SCN-029,2,0,0,1,1,0,0,0.047244,0.255704
B-CPU-DETREp-0001,fb93389,development,connection_plate_positioning,missing_workzone_payload,composition,ablation-fixed-repair-order,0,CSR-SCN-005|CSR-SCN-029,CSR-SCN-005|CSR-SCN-029,2,0,0,1,1,0,0,0.04896,0.258131
B-CPU-DETREp-0001,fb93389,development,connection_plate_positioning,missing_target_component,task,direct-conversion,0,CSR-SCN-008|CSR-SCN-028,,0,0,2,0,0,0,0,0.001083,0.0
B-CPU-DETREp-0001,fb93389,development,connection_plate_positioning,missing_target_component,task,fixed-rule-repair,0,CSR-SCN-008|CSR-SCN-028,CSR-SCN-008|CSR-SCN-028,2,0,0,1,1,0,0,0.053976,0.272302
B-CPU-DETREp-0001,fb93389,development,connection_plate_positioning,missing_target_component,task,ablation-no-provenance,0,CSR-SCN-008|CSR-SCN-028,CSR-SCN-008|CSR-SCN-028,2,0,0,1,1,0,0,0.037282,0.238952
B-CPU-DETREp-0001,fb93389,development,connection_plate_positioning,missing_target_component,task,ablation-no-task-validator,0,CSR-SCN-008|CSR-SCN-028,CSR-SCN-028,1,0,1,0,1,0,0,0.045383,0.233743
B-CPU-DETREp-0001,fb93389,development,connection_plate_positioning,missing_target_component,task,ablation-fixed-repair-order,0,CSR-SCN-008|CSR-SCN-028,CSR-SCN-008|CSR-SCN-028,2,0,0,1,1,0,0,0.048623,0.260039
B-CPU-DETREp-0001,fb93389,development,connection_plate_positioning,missing_task_preconditions,task,direct-conversion,0,CSR-SCN-009,,0,0,1,0,0,0,0,0.001072,0.0
B-CPU-DETREp-0001,fb93389,development,connection_plate_positioning,missing_task_preconditions,task,fixed-rule-repair,0,CSR-SCN-009,CSR-SCN-009,1,0,0,1,1,0,0,0.047595,0.257212
B-CPU-DETREp-0001,fb93389,development,connection_plate_positioning,missing_task_preconditions,task,ablation-no-provenance,0,CSR-SCN-009,CSR-SCN-009,1,0,0,1,1,0,0,0.035489,0.22324
B-CPU-DETREp-0001,fb93389,development,connection_plate_positioning,missing_task_preconditions,task,ablation-no-task-validator,0,CSR-SCN-009,,0,0,1,0,0,1,0,0.043445,0.227726
B-CPU-DETREp-0001,fb93389,development,connection_plate_positioning,missing_task_preconditions,task,ablation-fixed-repair-order,0,CSR-SCN-009,CSR-SCN-009,1,0,0,1,1,0,0,0.049722,0.254491
B-CPU-DETREp-0001,fb93389,development,connection_plate_positioning,missing_interface,interface,direct-conversion,0,CSR-SCN-012,,0,0,1,0,0,0,0,0.001153,0.0
B-CPU-DETREp-0001,fb93389,development,connection_plate_positioning,missing_interface,interface,fixed-rule-repair,0,CSR-SCN-012,CSR-SCN-012,1,0,0,1,1,0,0,0.048406,0.246332
B-CPU-DETREp-0001,fb93389,development,connection_plate_positioning,missing_interface,interface,ablation-no-provenance,0,CSR-SCN-012,CSR-SCN-012,1,0,0,1,1,0,0,0.035997,0.214114
B-CPU-DETREp-0001,fb93389,development,connection_plate_positioning,missing_interface,interface,ablation-no-task-validator,0,CSR-SCN-012,CSR-SCN-012,1,0,0,1,1,0,0,0.045956,0.242854
B-CPU-DETREp-0001,fb93389,development,connection_plate_positioning,missing_interface,interface,ablation-fixed-repair-order,0,CSR-SCN-012,CSR-SCN-012,1,0,0,1,1,0,0,0.047695,0.240478
B-CPU-DETREp-0001,fb93389,development,connection_plate_positioning,missing_mass_provenance,provenance,direct-conversion,0,CSR-SCN-015,,0,0,1,0,0,0,0,0.001125,0.0
B-CPU-DETREp-0001,fb93389,development,connection_plate_positioning,missing_mass_provenance,provenance,fixed-rule-repair,0,CSR-SCN-015,CSR-SCN-015,1,0,0,1,1,0,0,0.045379,0.245698
B-CPU-DETREp-0001,fb93389,development,connection_plate_positioning,missing_mass_provenance,provenance,ablation-no-provenance,0,CSR-SCN-015,,0,0,1,0,0,1,0,0.035218,0.161117
B-CPU-DETREp-0001,fb93389,development,connection_plate_positioning,missing_mass_provenance,provenance,ablation-no-task-validator,0,CSR-SCN-015,CSR-SCN-015,1,0,0,1,1,0,0,0.037295,0.235621
B-CPU-DETREp-0001,fb93389,development,connection_plate_positioning,missing_mass_provenance,provenance,ablation-fixed-repair-order,0,CSR-SCN-015,CSR-SCN-015,1,0,0,1,1,0,0,0.040078,0.246899
B-CPU-DETREp-0001,fb93389,development,connection_plate_positioning,missing_tool_binding,tool,direct-conversion,0,CSR-SCN-024,,0,0,1,0,0,0,0,0.001128,0.0
B-CPU-DETREp-0001,fb93389,development,connection_plate_positioning,missing_tool_binding,tool,fixed-rule-repair,0,CSR-SCN-024,CSR-SCN-024,1,0,0,1,1,0,0,0.046229,0.254803
B-CPU-DETREp-0001,fb93389,development,connection_plate_positioning,missing_tool_binding,tool,ablation-no-provenance,0,CSR-SCN-024,CSR-SCN-024,1,0,0,1,1,0,0,0.034384,0.22511
B-CPU-DETREp-0001,fb93389,development,connection_plate_positioning,missing_tool_binding,tool,ablation-no-task-validator,0,CSR-SCN-024,CSR-SCN-024,1,0,0,1,1,0,0,0.044643,0.242078
B-CPU-DETREp-0001,fb93389,development,connection_plate_positioning,missing_tool_binding,tool,ablation-fixed-repair-order,0,CSR-SCN-024,CSR-SCN-024,1,0,0,1,1,0,0,0.048956,0.246527
B-CPU-DETREp-0001,fb93389,development,pin_insertion,wrong_up_axis,spatial,direct-conversion,0,CSR-SCN-001,,0,0,1,0,0,0,0,0.001026,0.0
B-CPU-DETREp-0001,fb93389,development,pin_insertion,wrong_up_axis,spatial,fixed-rule-repair,0,CSR-SCN-001,CSR-SCN-001,1,0,0,1,1,0,0,0.051723,0.23919
B-CPU-DETREp-0001,fb93389,development,pin_insertion,wrong_up_axis,spatial,ablation-no-provenance,0,CSR-SCN-001,CSR-SCN-001,1,0,0,1,1,0,0,0.035462,0.213835
B-CPU-DETREp-0001,fb93389,development,pin_insertion,wrong_up_axis,spatial,ablation-no-task-validator,0,CSR-SCN-001,CSR-SCN-001,1,0,0,1,1,0,0,0.044811,0.234534
B-CPU-DETREp-0001,fb93389,development,pin_insertion,wrong_up_axis,spatial,ablation-fixed-repair-order,0,CSR-SCN-001,CSR-SCN-001,1,0,0,1,1,0,0,0.048444,0.246103
B-CPU-DETREp-0001,fb93389,development,pin_insertion,wrong_units,spatial,direct-conversion,0,CSR-SCN-002,,0,0,1,0,0,0,0,0.001153,0.0
B-CPU-DETREp-0001,fb93389,development,pin_insertion,wrong_units,spatial,fixed-rule-repair,0,CSR-SCN-002,CSR-SCN-002,1,0,0,1,1,0,0,0.046403,0.253802
B-CPU-DETREp-0001,fb93389,development,pin_insertion,wrong_units,spatial,ablation-no-provenance,0,CSR-SCN-002,CSR-SCN-002,1,0,0,1,1,0,0,0.036107,0.228119
B-CPU-DETREp-0001,fb93389,development,pin_insertion,wrong_units,spatial,ablation-no-task-validator,0,CSR-SCN-002,CSR-SCN-002,1,0,0,1,1,0,0,0.045236,0.240734
B-CPU-DETREp-0001,fb93389,development,pin_insertion,wrong_units,spatial,ablation-fixed-repair-order,0,CSR-SCN-002,CSR-SCN-002,1,0,0,1,1,0,0,0.05077,0.257293
B-CPU-DETREp-0001,fb93389,development,pin_insertion,missing_ifc_guid,identity,direct-conversion,0,CSR-SCN-003,,0,0,1,0,0,0,0,0.001126,0.0
B-CPU-DETREp-0001,fb93389,development,pin_insertion,missing_ifc_guid,identity,fixed-rule-repair,0,CSR-SCN-003,CSR-SCN-003,1,0,0,1,1,0,0,0.049339,0.257262
B-CPU-DETREp-0001,fb93389,development,pin_insertion,missing_ifc_guid,identity,ablation-no-provenance,0,CSR-SCN-003,CSR-SCN-003,1,0,0,1,1,0,0,0.036019,0.217669
B-CPU-DETREp-0001,fb93389,development,pin_insertion,missing_ifc_guid,identity,ablation-no-task-validator,0,CSR-SCN-003,CSR-SCN-003,1,0,0,1,1,0,0,0.045682,0.235634
B-CPU-DETREp-0001,fb93389,development,pin_insertion,missing_ifc_guid,identity,ablation-fixed-repair-order,0,CSR-SCN-003,CSR-SCN-003,1,0,0,1,1,0,0,0.049724,0.24496
B-CPU-DETREp-0001,fb93389,development,pin_insertion,missing_workzone_payload,composition,direct-conversion,0,CSR-SCN-005|CSR-SCN-029,,0,0,2,0,0,0,0,0.001154,0.0
B-CPU-DETREp-0001,fb93389,development,pin_insertion,missing_workzone_payload,composition,fixed-rule-repair,0,CSR-SCN-005|CSR-SCN-029,CSR-SCN-005|CSR-SCN-029,2,0,0,1,1,0,0,0.049162,0.265011
B-CPU-DETREp-0001,fb93389,development,pin_insertion,missing_workzone_payload,composition,ablation-no-provenance,0,CSR-SCN-005|CSR-SCN-029,CSR-SCN-005|CSR-SCN-029,2,0,0,1,1,0,0,0.035099,0.22632
B-CPU-DETREp-0001,fb93389,development,pin_insertion,missing_workzone_payload,composition,ablation-no-task-validator,0,CSR-SCN-005|CSR-SCN-029,CSR-SCN-005|CSR-SCN-029,2,0,0,1,1,0,0,0.047295,0.260973
